[02.25.2024 10:50:30 | INFO]: Program Started !!!
[02.25.2024 10:51:29 | INFO]: Program Started !!!
[02.25.2024 10:51:32 | INFO]: Program Started !!!
[02.25.2024 14:03:39 | INFO]: Program Started !!!
[02.25.2024 14:04:22 | INFO]: Program Started !!!
[02.25.2024 14:18:44 | INFO]: Program Started !!!
[02.25.2024 14:18:58 | INFO]: Program Started !!!
[02.25.2024 14:18:58 | INFO]: Server is: https://api.telegram.org/bot{token}/{method}
[02.25.2024 14:18:58 | INFO]: Start polling
[02.25.2024 14:18:58 | INFO]: Run polling for bot @MaterKinoBot id=6867131600 - 'GoFilmBot'
[02.25.2024 14:20:59 | INFO]: Polling stopped
[02.25.2024 14:20:59 | INFO]: Polling stopped for bot @MaterKinoBot id=6867131600 - 'GoFilmBot'
[02.25.2024 14:29:33 | INFO]: Program Started !!!
[02.25.2024 14:29:33 | INFO]: Server is: https://api.telegram.org/bot{token}/{method}
[02.25.2024 14:29:33 | INFO]: Start polling
[02.25.2024 14:29:36 | INFO]: Run polling for bot @GlobalCarsUkaineBot id=6836140274 - 'Global Car UA'
[02.25.2024 14:30:00 | INFO]: Polling stopped
[02.25.2024 14:30:00 | INFO]: Polling stopped for bot @GlobalCarsUkaineBot id=6836140274 - 'Global Car UA'
[02.25.2024 14:30:02 | INFO]: Program Started !!!
[02.25.2024 14:30:02 | INFO]: Server is: https://api.telegram.org/bot{token}/{method}
[02.25.2024 14:30:02 | INFO]: Start polling
[02.25.2024 14:30:03 | INFO]: Run polling for bot @GlobalCarsUkaineBot id=6836140274 - 'Global Car UA'
[02.25.2024 14:30:11 | INFO]: Polling stopped
[02.25.2024 14:30:11 | INFO]: Polling stopped for bot @GlobalCarsUkaineBot id=6836140274 - 'Global Car UA'
[02.25.2024 14:30:13 | INFO]: Program Started !!!
[02.25.2024 14:30:14 | INFO]: Server is: https://api.telegram.org/bot{token}/{method}
[02.25.2024 14:30:14 | INFO]: Start polling
[02.25.2024 14:30:14 | INFO]: Run polling for bot @GlobalCarsUkaineBot id=6836140274 - 'Global Car UA'
[02.25.2024 14:33:31 | INFO]: Polling stopped
[02.25.2024 14:33:31 | INFO]: Polling stopped for bot @GlobalCarsUkaineBot id=6836140274 - 'Global Car UA'
